field_number,data_point,data_field_title,column_name,data_type,valid_value_codes,valid_value_descriptions,conditionality,instructions,rule_section,examples,validations
1,Unique identifier,Unique identifier,uid,Text (width 21 to 45 characters),,,Required for all application records,"Enter a unique identifier for each application or extension of credit that:<ul><li>Begins with the financial institution's Legal Entity Identifier as defined in comment 1002.109(b)(6)-1</li><li>Follows the Legal Entity Identifier with up to 25 additional characters to identify the covered loan or application, which:<ul><li>May be letters, numerals, or a combination of letters and numerals (cannot contain dashes, other special characters, or characters with diacritics)</li><li>Must be unique within the financial institution</li><li>Must not include any information that could be used to directly identify the applicant or borrower</li></ul></li></ul>",12 CFR 1002.107(a)(1),10BX939C5543TQA1144M999143938,"Must be at least 21 characters in length and at most 45 characters in length; May contain any combination of numbers and/or uppercase letters (i.e., 0-9 and A-Z), and must not contain any other characters; May not be used in more than one record within a SBLAR; The first 20 characters should match the Legal Entity Identifier (LEI) for the financial institution"
2,Application date,Application date,app_date,Date,,,Required for all application records,"Enter, in numeral form, the date the application was received or the date shown on the application form by year, month, and day, using YYYYMMDD format.",12 CFR 1002.107(a)(2),"For July 21, 2024, enter 20240721",Must be a real calendar date using YYYYMMDD format
3,Application method,Application method,app_method,Single response,1;2;3;4,Code 1 - In-person; Code 2 - Telephone; Code 3 - Online; Code 4 - Mail,Required for all application records,Indicate the means by which the applicant submitted the application by entering one of the specified codes.,12 CFR 1002.107(a)(3),,"Must equal 1, 2, 3 or 4"
4,Application recipient,Application recipient,app_recipient,Single response,1;2,Code 1 - The applicant submitted the application directly to the financial institution or its affiliate; Code 2 - The applicant submitted the application indirectly to the financial institution via a third party,Required for all application records,Indicate the application recipient by entering one of the specified codes.,12 CFR 1002.107(a)(4),,Must equal 1 or 2
5,Credit type,Credit product,ct_credit_product,Single response,1;2;3;4;5;6;7;8;77;88,"Code 1 - Term loan - unsecured; Code 2 - Term loan - secured; Code 3 - Line of credit - unsecured; Code 4 - Line of credit - secured; Code 5 - Credit card account, not private-label; Code 6 - Private-label credit card account; Code 7 - Merchant cash advance; Code 8 - Other sales-based financing transaction; Code 77 - Other (specify in the associated free form text field); Code 88 - Not provided by applicant and otherwise undetermined",Required for all application records,Indicate the credit product by entering one of the specified codes.,12 CFR 1002.107(a)(5)(i),,"Must equal 1, 2, 3, 4, 5, 6, 7, 8, 77, or 88"
6,Credit type,Free form text field for other credit products,ct_credit_product_ff,Text (width up to 300 characters),,,Conditionally required if 'credit product' is code 77. Leave blank if code 77 is not entered.,Specify in text the other credit product if code 77 is entered.,12 CFR 1002.107(a)(5)(i),,Must not exceed 300 characters in length
7,Credit type,Type of guarantee,ct_guarantee,Multiple response,1;2;3;4;5;6;7;8;9;10;11;77;99,Code 1 - Personal guarantee - owner(s); Code 2 - Personal guarantee - non-owner(s); Code 3 - SBA guarantee - 7(a) program; Code 4 - SBA guarantee - 504 program; Code 5 - SBA guarantee - other; Code 6 - USDA guarantee; Code 7 - FHA insurance; Code 8 - Bureau of Indian Affairs guarantee; Code 9 - Other Federal guarantee; Code 10 - State government guarantee; Code 11 - Local government guarantee; Code 77 - Other (specify in the associated free form text field); Code 99 - No guarantee,Required for all application records,"Indicate the type or types of guarantees by entering up to five of the specified codes. If there is more than one type of guarantee, enter up to five, in any order, separated by semicolons.",12 CFR 1002.107(a)(5)(ii),,"Each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 77, or 99; Must contain at least one and at most five values, separated by semicolons; When code 99 is reported, should not contain any other values; Should not contain duplicated values"
8,Credit type,Free form text field for other guarantee,ct_guarantee_ff,Text (width up to 300 characters),,,Conditionally required if 'type of guarantee' contains code 77. Leave blank if code 77 is not entered.,"Specify in text the other guarantee if code 77 is entered. If there is more than one ther guarantee entered, separate each one by a semicolons.",12 CFR 1002.107(a)(5)(ii),,Must not exceed 300 characters in length
9,Credit type,Loan term: NA/NP flag,ct_loan_term_flag,Single response,0;88;99,Code 0 - Applicable and reported; Code 88 - Applicable but not provided by applicant and otherwise undetermined; Code 99 - Not applicable,Required for all application records,Indicate whether 'loan term' is applicable for this application for credit by entering a code from the specified list of values.,12 CFR 1002.107(a)(5)(iii),,"Must equal 0, 88, or 99"
10,Credit type,Loan term,ct_loan_term,Numeric,,,Conditionally required if 'credit type: loan term: NA/NP flag' is code 0. Leave blank if code 0 is not entered.,"Enter, in numerical form, the number of months in the loan term for products that have a loan term. If the product has a loan term of less than 1 month, enter 1.",12 CFR 1002.107(a)(5)(iii),"For a loan term of 36 months, enter 36; For a loan term of less than 1 month, enter 1","When present, must be a whole number; When present, must be greater than or equal to 1; When present, should be less than 1200 (100 years)"
11,Credit purpose,Credit purpose,credit_purpose,Multiple response,1;2;3;4;5;6;7;8;9;10;11;77;88;99,"Code 1 - Purchase, construction/improvement, or refinance of non-owner-occupied real property; Code 2 - Purchase, construction/improvement, or refinance of owner-occupied real property; Code 3 - Purchase, refinance, or rehabilitation/repair of motor vehicle(s) (including light and heavy trucks); Code 4 - Purchase, refinance, or rehabilitation/repair of equipment; Code 5 - Working capital (includes inventory or floor planning); Code 6 - Business start-up; Code 7 - Business expansion; Code 8 - Business acquisition; Code 9 - Refinance existing debt (other than refinancings listed above); Code 10 - Line increase; Code 11 - Overdraft protection; Code 77 - Other (specify in the associated free form text field); Code 88 - Not provided by applicant and otherwise undetermined; Code 99 - Not applicable",Required for all application records,"Indicate the credit purpose(s) by entering up to three of the specified codes. If there is more than one credit purpose, enter up to three, in any order, separated by a semicolons.",12 CFR 1002.107(a)(6),,"Each value (separated by semicolons) must equal 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 77, 88, or 99; Must contain at least one and at most three values, separated by semicolons; When code 88 or 99 is reported, should not contain any other values; Should not contain duplicated values"
12,Credit purpose,Free form text field for other credit purpose,credit_purpose_ff,Text (width up to 300 characters),,,Conditionally required if 'credit purpose' contains code 77. Leave blank if code 77 is not entered.,Specify in text the other credit purpose if code 77 is entered. Do not enter more than one other credit purpose.,12 CFR 1002.107(a)(6),,Must not exceed 300 characters in length
